user_id,event_name,event_date
1,browse,2025-01-02 10:15:00
1,add_to_cart,2025-01-02 11:30:00
1,checkout,2025-01-02 12:00:00
1,purchase,2025-01-02 12:15:00
2,browse,2025-01-03 09:00:00
2,add_to_cart,2025-01-03 09:30:00
3,browse,2025-01-04 14:00:00
4,browse,2025-01-05 16:00:00
4,add_to_cart,2025-01-05 17:00:00
4,checkout,2025-01-05 17:30:00
5,browse,2025-01-06 08:00:00
6,browse,2025-01-07 11:00:00
6,add_to_cart,2025-01-07 12:00:00
6,checkout,2025-01-07 12:30:00
6,purchase,2025-01-07 13:00:00
6,purchase,2025-01-21 10:00:00
7,browse,2025-01-08 15:00:00
8,browse,2025-01-09 09:00:00
9,browse,2025-01-10 14:00:00
10,browse,2025-01-11 11:00:00
